name,longitude,latitude,issues,prov,key,scientificName,datasetKey,publishingOrgKey,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,hostingOrganizationKey,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,iucnRedListCategory,dateIdentified,coordinateUncertaintyInMeters,stateProvince,year,month,day,eventDate,modified,lastInterpreted,references,license,isInCluster,geodeticDatum,class,countryCode,country,rightsHolder,identifier,http://unknown.org/nick,informationWithheld,verbatimEventDate,datasetName,collectionCode,verbatimLocality,gbifID,occurrenceID,taxonID,catalogNumber,recordedBy,institutionCode,eventTime,identifiedBy,identificationID,occurrenceRemarks,sex,lifeStage,continent,institutionKey,collectionKey,acceptedNameUsage,institutionID,locality,language,type,preparations,ownerInstitutionCode,datasetID,collectionID,networkKeys,individualCount,elevation,elevationAccuracy,associatedOccurrences,dynamicProperties,county,identificationVerificationStatus,eventRemarks,locationAccordingTo,identificationRemarks,georeferencedDate,higherGeography,nomenclaturalCode,georeferencedBy,georeferenceProtocol,georeferenceVerificationStatus,endDayOfYear,verbatimCoordinateSystem,otherCatalogNumbers,organismID,previousIdentifications,identificationQualifier,samplingProtocol,accessRights,higherClassification,georeferenceSources,establishmentMeans,vernacularName,startDayOfYear,locationRemarks,earliestEpochOrLowestSeries,fieldNumber,recordNumber,identificationReferences,disposition,http://unknown.org/recordId,rights,georeferenceRemarks,bibliographicCitation,associatedSequences,fieldNotes,municipality,taxonRemarks,higherGeographyID,projectId,coordinatePrecision,earliestAgeOrLowestStage,namePublishedInYear,associatedReferences,taxonConceptID,verbatimTaxonRank,bed,formation,member,lithostratigraphicTerms,latestAgeOrHighestStage,locationID,depth,depthAccuracy,nameAccordingTo,parentNameUsage
"Mustela nigripes (Audubon & Bachman, 1851)",-104.974734,39.903885,cdround,gbif,3039231118,"Mustela nigripes (Audubon & Bachman, 1851)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:02:33.012+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,5218985,1,44,359,732,5307,2433922,5218985,5218985,"Mustela nigripes (Audubon & Bachman, 1851)",Animalia,Chordata,Carnivora,Mustelidae,Mustela,Mustela nigripes,Mustela,nigripes,SPECIES,ACCEPTED,EN,2021-02-11T18:14:55,28030,Colorado,2021,2,7,2021-02-07,2021-09-23T15:56:01.000+00:00,2021-12-08T05:02:33.012+00:00,https://www.inaturalist.org/observations/69419350,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,US,United States of America,jbenjd,69419350,jbenjd,Coordinate uncertainty increased to 28030m to protect threatened taxon,Sun Feb 07 2021 00:09:31 GMT-0700 (MST),iNaturalist research-grade observations,Observations,"Colorado, US",3039231118,https://www.inaturalist.org/observations/69419350,41809,69419350,jbenjd,iNaturalist,07:09:31Z,jbenjd,154429802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustela nigripes (Audubon & Bachman, 1851)",-105.902912,42.113755,cdround,gbif,3335084546,"Mustela nigripes (Audubon & Bachman, 1851)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:57:06.432+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,5218985,1,44,359,732,5307,2433922,5218985,5218985,"Mustela nigripes (Audubon & Bachman, 1851)",Animalia,Chordata,Carnivora,Mustelidae,Mustela,Mustela nigripes,Mustela,nigripes,SPECIES,ACCEPTED,EN,2021-07-22T18:25:47,27692,Wyoming,2021,7,22,2021-07-22,2021-11-02T23:28:09.000+00:00,2021-12-08T05:57:06.432+00:00,https://www.inaturalist.org/observations/88156830,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,US,United States of America,kslwombat,88156830,kslwombat,Coordinate uncertainty increased to 27692m to protect threatened taxon,Thu Jul 22 2021 08:49:20 GMT-0600 (MDT),iNaturalist research-grade observations,Observations,"Albany County, US-WY, US",3335084546,https://www.inaturalist.org/observations/88156830,41809,88156830,kslwombat,iNaturalist,14:49:20Z,kslwombat,193262548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustela nigripes (Audubon & Bachman, 1851)",-104.866226,39.927502,cdround,gbif,3391364238,"Mustela nigripes (Audubon & Bachman, 1851)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:09:20.974+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,5218985,1,44,359,732,5307,2433922,5218985,5218985,"Mustela nigripes (Audubon & Bachman, 1851)",Animalia,Chordata,Carnivora,Mustelidae,Mustela,Mustela nigripes,Mustela,nigripes,SPECIES,ACCEPTED,EN,2021-10-14T03:32:43,28030,Colorado,2021,10,3,2021-10-03,2021-11-04T02:11:24.000+00:00,2021-12-08T05:09:20.974+00:00,https://www.inaturalist.org/observations/98166936,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,US,United States of America,Bob Stocker,98166936,bstocker,Coordinate uncertainty increased to 28030m to protect threatened taxon,2021/10/03 9:07 AM MDT,iNaturalist research-grade observations,Observations,"Colorado, US",3391364238,https://www.inaturalist.org/observations/98166936,41809,98166936,Bob Stocker,iNaturalist,15:07:00Z,Bob Stocker,213773777,"This ferret popped out of a hole that the prairie dog seemed to be trying to cover up. The two animals seemed to be aware of each other, but they did not interact. Eventually the prairie dog wandered off.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustela nigripes (Audubon & Bachman, 1851)",-104.939317,38.384479,cdround,gbif,3415664662,"Mustela nigripes (Audubon & Bachman, 1851)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:27:34.466+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,5218985,1,44,359,732,5307,2433922,5218985,5218985,"Mustela nigripes (Audubon & Bachman, 1851)",Animalia,Chordata,Carnivora,Mustelidae,Mustela,Mustela nigripes,Mustela,nigripes,SPECIES,ACCEPTED,EN,2021-11-20T03:32:24,28270,Colorado,2021,11,19,2021-11-19,2021-11-21T06:24:52.000+00:00,2021-12-08T05:27:34.466+00:00,https://www.inaturalist.org/observations/101508708,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,US,United States of America,rowz,101508708,rowz,Coordinate uncertainty increased to 28270m at the request of the observer,2021/11/19 11:17 AM MST,iNaturalist research-grade observations,Observations,"Colorado, US",3415664662,https://www.inaturalist.org/observations/101508708,41809,101508708,rowz,iNaturalist,18:17:00Z,rowz,221747300,NA,MALE,Adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustela nigripes (Audubon & Bachman, 1851)",-104.944392,39.989035,cdround,gbif,2868167030,"Mustela nigripes (Audubon & Bachman, 1851)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:47:27.005+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,5218985,1,44,359,732,5307,2433922,5218985,5218985,"Mustela nigripes (Audubon & Bachman, 1851)",Animalia,Chordata,Carnivora,Mustelidae,Mustela,Mustela nigripes,Mustela,nigripes,SPECIES,ACCEPTED,EN,2020-09-24T21:18:30,28030,Colorado,2020,9,24,2020-09-24,2021-11-02T23:28:52.000+00:00,2021-12-08T05:47:27.005+00:00,https://www.inaturalist.org/observations/60650435,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,US,United States of America,Elisa P.,60650435,tiki,Coordinate uncertainty increased to 28030m to protect threatened taxon,Thu Sep 24 2020 15:15:41 GMT-0600 (MDT),iNaturalist research-grade observations,Observations,"Colorado, US",2868167030,https://www.inaturalist.org/observations/60650435,41809,60650435,Elisa P.,iNaturalist,21:15:41Z,Elisa P.,132430806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustela nigripes (Audubon & Bachman, 1851)",-112.8655,35.332375,cdround,gbif,2235481253,"Mustela nigripes (Audubon & Bachman, 1851)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:49:43.910+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,5218985,1,44,359,732,5307,2433922,5218985,5218985,"Mustela nigripes (Audubon & Bachman, 1851)",Animalia,Chordata,Carnivora,Mustelidae,Mustela,Mustela nigripes,Mustela,nigripes,SPECIES,ACCEPTED,EN,2019-03-29T02:06:54,28706,Arizona,2019,3,24,2019-03-24,2021-11-02T23:31:59.000+00:00,2021-12-08T05:49:43.910+00:00,https://www.inaturalist.org/observations/21722798,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,US,United States of America,naturegirlkh,21722798,naturegirlkh,Coordinate uncertainty increased to 28706m to protect threatened taxon,2019/03/24 7:46 AM MST,iNaturalist research-grade observations,Observations,"Yavapai County, US-AZ, US",2235481253,https://www.inaturalist.org/observations/21722798,41809,21722798,naturegirlkh,iNaturalist,14:46:00Z,naturegirlkh,48538655,Game and Fish spotlighting project,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustela nigripes (Audubon & Bachman, 1851)",-112.969423,35.299268,cdround,gbif,2237471916,"Mustela nigripes (Audubon & Bachman, 1851)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:46:21.026+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,5218985,1,44,359,732,5307,2433922,5218985,5218985,"Mustela nigripes (Audubon & Bachman, 1851)",Animalia,Chordata,Carnivora,Mustelidae,Mustela,Mustela nigripes,Mustela,nigripes,SPECIES,ACCEPTED,EN,2019-04-21T20:45:08,28706,Arizona,2019,4,21,2019-04-21,2021-11-02T23:30:57.000+00:00,2021-12-08T05:46:21.026+00:00,https://www.inaturalist.org/observations/22839192,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,US,United States of America,naturegirlkh,22839192,naturegirlkh,Coordinate uncertainty increased to 28706m to protect threatened taxon,2019/04/21 8:11 AM MST,iNaturalist research-grade observations,Observations,"Yavapai County, US-AZ, US",2237471916,https://www.inaturalist.org/observations/22839192,41809,22839192,naturegirlkh,iNaturalist,15:11:00Z,naturegirlkh,50857866,Game and Fish Black Footed Ferret Project,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustela nigripes (Audubon & Bachman, 1851)",-104.920234,39.888077,cdround,gbif,2397586009,"Mustela nigripes (Audubon & Bachman, 1851)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:48:29.471+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,5218985,1,44,359,732,5307,2433922,5218985,5218985,"Mustela nigripes (Audubon & Bachman, 1851)",Animalia,Chordata,Carnivora,Mustelidae,Mustela,Mustela nigripes,Mustela,nigripes,SPECIES,ACCEPTED,EN,2019-08-27T12:18:06,28030,Colorado,2019,8,27,2019-08-27,2021-11-02T23:30:41.000+00:00,2021-12-08T05:48:29.471+00:00,https://www.inaturalist.org/observations/31603881,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,US,United States of America,Zach Schiff,31603881,zachs,Coordinate uncertainty increased to 28030m to protect threatened taxon,2019/08/27 4:45 AM MDT,iNaturalist research-grade observations,Observations,"Colorado, US",2397586009,https://www.inaturalist.org/observations/31603881,41809,31603881,Zach Schiff,iNaturalist,10:45:00Z,Zach Schiff,68511137,three year old lactating female (indicating she has kits) captured during annual U.S. Fish and Wildlife Service black footed ferret surveys to assess populations and vaccinate against disease.,FEMALE,Adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustela nigripes (Audubon & Bachman, 1851)",-104.933703,39.853319,cdround,gbif,2397588332,"Mustela nigripes (Audubon & Bachman, 1851)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T04:59:02.158+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,5218985,1,44,359,732,5307,2433922,5218985,5218985,"Mustela nigripes (Audubon & Bachman, 1851)",Animalia,Chordata,Carnivora,Mustelidae,Mustela,Mustela nigripes,Mustela,nigripes,SPECIES,ACCEPTED,EN,2019-08-27T16:11:43,28030,Colorado,2019,8,27,2019-08-27,2021-11-02T23:30:10.000+00:00,2021-12-08T04:59:02.158+00:00,https://www.inaturalist.org/observations/31615811,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,US,United States of America,Zach Schiff,31615811,zachs,Coordinate uncertainty increased to 28030m to protect threatened taxon,2019/08/27 6:52 AM MDT,iNaturalist research-grade observations,Observations,"Colorado, US",2397588332,https://www.inaturalist.org/observations/31615811,41809,31615811,Zach Schiff,iNaturalist,12:52:00Z,Zach Schiff,68536941,first year kit captured during annual U.S. Fish and Wildlife Service black footed ferret surveys to assess populations and vaccinate against disease.,FEMALE,Juvenile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustela nigripes (Audubon & Bachman, 1851)",-104.820121,39.907071,cdround,gbif,2397589418,"Mustela nigripes (Audubon & Bachman, 1851)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:46:15.052+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,5218985,1,44,359,732,5307,2433922,5218985,5218985,"Mustela nigripes (Audubon & Bachman, 1851)",Animalia,Chordata,Carnivora,Mustelidae,Mustela,Mustela nigripes,Mustela,nigripes,SPECIES,ACCEPTED,EN,2019-08-27T16:11:41,28030,Colorado,2019,8,27,2019-08-27,2021-11-02T23:30:32.000+00:00,2021-12-08T05:46:15.052+00:00,https://www.inaturalist.org/observations/31615806,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,US,United States of America,Zach Schiff,31615806,zachs,Coordinate uncertainty increased to 28030m to protect threatened taxon,2019/08/27 6:52 AM MDT,iNaturalist research-grade observations,Observations,"Colorado, US",2397589418,https://www.inaturalist.org/observations/31615806,41809,31615806,Zach Schiff,iNaturalist,12:52:00Z,Zach Schiff,68536937,first year kit captured during annual U.S. Fish and Wildlife Service black footed ferret surveys to assess populations and vaccinate against disease.,NA,Juvenile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
